Procurement Ref. No.,Lot No.,Procurement Title,Procuring Entity,Procurement Category,Market Approach,Source,Submission Deadline
EPSA-NCB-G-0295-2017-PUR,Lot:  1,የተለያዩ የመኪና እቃዎች ግዥ 2,Ethiopia Pharmaceutical Supplies Service,Goods,National,Federal Government,"Mar 31, 2025, 5:30:00 PM"
ARU-NCB-G-0353-2017-PUR,Lot:  1,Procurement Of spare part(Nissan patrol,Arsi University,Goods,National,Federal Government,"Apr 1, 2025, 8:30:00 AM"
IFA-NCB-NC-0098-2017-PUR,Lot:  1,4 star hotel service @Jimma city,Institute of Foreign Affairs,NonConsultancyServices,National,Federal Government,"Apr 1, 2025, 12:00:00 AM"
MOD-NCB-G-0696-2017-PUR,Lot:  1,procurement of medicale material & medi,Ministry of Defense,Goods,National,Federal Government,"Apr 1, 2025, 9:00:00 AM"
AmU-NCB-G-0059-2017-BID,Lot:  1,LOT - 25 - Procurement  of  2017 Budget,Arbaminch University,Goods,National,Federal Government,"Apr 14, 2025, 10:00:00 AM"
WKU-NCB-G-0443-2017-PUR,Lot:  1,ሎት 464 Purchase Requisition of car decor,Wolkite University,Goods,National,Federal Government,"Apr 1, 2025, 8:30:00 AM"
AmU-NCB-G-0615-2017-PUR,Lot:  1,ካኪ ፖስታ A3/ለአምቲኢ/,Arbaminch University,Goods,National,Federal Government,"Apr 1, 2025, 4:00:00 PM"
WKU-NCB-G-0435-2017-PUR,Lot:  1,lot 458 Purchase requisition of ለወልቂጤ ዩኒ,Wolkite University,Goods,National,Federal Government,"Apr 1, 2025, 8:30:00 AM"
AmU-NCB-G-0062-2017-BID,Lot:  1,LOT - 26 - Procurement of  2017 Budget Y,Arbaminch University,Goods,National,Federal Government,"Apr 19, 2025, 10:00:00 AM"
AmU-NCB-G-0618-2017-PUR,Lot:  1,1ኛ ደረጃ ሪፍሬሽመንት (Refreshment) 1,Arbaminch University,Goods,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
,,,,,,,
MOD-NCB-G-0695-2017-PUR,Lot:  1,የቧንቧ ዕቃዎች ግዥ (defence command and staff,Ministry of Defense,Goods,National,Federal Government,"Apr 1, 2025, 4:00:00 PM"
WKU-NCB-G-0439-2017-PUR,Lot:  1,ሎት 453 የወልቂጤ ዩኒቨርሲቲ ለግንባታ ፕሮጀክት ጽ/ት አገልግ,Wolkite University,Goods,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
ASU-NCB-G-0108-2017-PUR,Lot:  1,ለምርምር አገልግሎት የሚዉል እቃዎች አቅርቦት ግዥ,Assosa University,Goods,National,Federal Government,"Apr 1, 2025, 3:30:00 PM"
UoG-NCB-G-0212-2017-PUR,Lot:  1,Procurement Of Printing Product /ቢን ካርድ፣,University of Gondar,Goods,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
MoLS-NCB-G-0029-2017-BID,Lot:  1,Procurement of Vehicle Tyre-2-,Ministry of Labor and Skills,Goods,National,Federal Government,"Apr 15, 2025, 10:00:00 AM"
ASTU-NCB-G-0589-2017-PUR,Lot:  1,Purchase of hydraulic machine and relat,Adama Science and Technology University,Goods,National,Federal Government,"Apr 1, 2025, 5:00:00 PM"
ECTA-NCB-NC-0139-2017-PUR,Lot:  1,procurement of Coaster bus rent,Ethiopian Coffee and Tea Authority,NonConsultancyServices,National,Federal Government,"Apr 2, 2025, 12:00:00 AM"
MoWSA-NCB-G-0054-2017-PUR,Lot:  1,የሞተረኛ እቃዎች,Ministry of Women and Social Affairs,Goods,National,Federal Government,"Apr 1, 2025, 3:00:00 AM"
ARU-NCB-G-0034-2017-BID,Lot:  1,procurement of  laboratory Tender,Arsi University,Goods,National,Federal Government,"Apr 14, 2025, 10:00:00 AM"
EFP-NCB-G-0526-2017-PUR,Lot:  1,FPHS Purchasing of Jel ultrasound,Ethiopian Federal Police,Goods,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
,,,,,,,
WKU-NCB-G-0444-2017-PUR,Lot:  1,lot 435 Purchase Requisition of ለምርምር እና,Wolkite University,Goods,National,Federal Government,"Apr 1, 2025, 9:00:00 AM"
AmU-NCB-G-0610-2017-PUR,Lot:  1,Spare Parts for Cod- 4 - 22921 E.T,Arbaminch University,Goods,National,Federal Government,"Apr 1, 2025, 9:00:00 AM"
WKU-NCB-G-0412-2017-PUR,Lot:  1,lot 444 Purchase Requisition of የወልቂጤ ዩኒ,Wolkite University,Goods,National,Federal Government,"Apr 1, 2025, 8:30:00 AM"
